片名,年代,产地,类别,豆瓣评分,迅雷下载链接
More Than Blue,2018,中国台湾,爱情,4.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:4132/阳光电影www.ygdy8.com.比悲伤更悲伤的故事.HD.720p.国语中字.mkv
绿皮书,2018,美国,剧情/喜剧/传记,8.9,ftp://ygdy8:ygdy8@yg90.dydytt.net:8533/阳光电影www.ygdy8.com.绿皮书.BD.720p.国英双语双字.mkv
钢铁苍穹2：即临种族,2019,芬兰/德国,喜剧/动作/科幻,6.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:3212/阳光电影www.ygdy8.com.钢铁苍穹2：即临种族.BD.720p.中英双字幕.mkv
超能泰坦,2018,美国/英国,科幻/惊悚,4.5,ftp://ygdy8:ygdy8@yg90.dydytt.net:8532/阳光电影www.ygdy8.com.超能泰坦.BD.720p.国英双语双字.mkv
Fall in Love at First Kiss,2019,中国,喜剧/爱情,4.9,ftp://ygdy8:ygdy8@yg45.dydytt.net:6162/阳光电影www.ygdy8.com.一吻定情.BD.720p.国语中字.mkv
虽然只是弄丢了手机 ,2018,日本,剧情 / 悬疑 / 惊悚,5.7,ftp://ygdy8:ygdy8@yg90.dydytt.net:8529/阳光电影www.ygdy8.com.虽然只是弄丢了手机.BD.720p.日语中字.mkv
彼布利亚古书堂事件手帖,2018,日本,悬疑,6.3,ftp://ygdy8:ygdy8@yg45.dydytt.net:3210/阳光电影www.ygdy8.com.彼布利亚古书堂事件手帖.BD.720p.日语中字.mkv
为家而战,2019,英国/美国,剧情/喜剧/传记/运动,6.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:7437/阳光电影www.ygdy8.com.为家而战.BD.720p.中英双字幕.mkv
一次聚会,2018,德国,喜剧,7.5,ftp://ygdy8:ygdy8@yg45.dydytt.net:8437/阳光电影www.ygdy8.com.一次聚会.BD.720p.德语中字.mkv
我唾弃你的坟墓：似曾相识 ,2019,美国,惊悚 / 恐怖,4.3,ftp://ygdy8:ygdy8@yg45.dydytt.net:4129/阳光电影www.ygdy8.com.我唾弃你的坟墓：似曾相识.BD.720p.中英双字幕.mkv
冷血追击,2019,英国/挪威/加拿大/美国,剧情/动作/惊悚,6.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:3208/阳光电影www.ygdy8.com.冷血追击.BD.720p.中英双字幕.mkv
毒战,2013,中国/香港,剧情/动作/犯罪,7.3,ftp://dygod1:dygod1@d139.dygod.org:9015/[电影天堂www.dy2018.net].毒战.BD.720p.国粤双语中字.mkv
Song of Youth,2019,中国,剧情,6.9,ftp://ygdy8:ygdy8@yg45.dydytt.net:8435/阳光电影www.ygdy8.com.老师·好.HD.720p.国语中字.mkv
The Leaker,2018,中国香港,剧情/犯罪/惊悚,5.6,ftp://ygdy8:ygdy8@yg90.dydytt.net:8521/阳光电影www.ygdy8.com.泄密者.BD.720p.国粤双语中字.mkv
教授与疯子,2019,爱尔兰,剧情/悬疑/惊悚/传记,7.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:8432/阳光电影www.ygdy8.com.教授与疯子.HD.720p.英语中字.mkv
忌日快乐2,2019,美国,悬疑/惊悚/恐怖,7.1,ftp://ygdy8:ygdy8@yg45.dydytt.net:7432/阳光电影www.ygdy8.com.忌日快乐2.BD.720p.中英双字幕.mkv
乐高大电影2,2019,美国/澳大利亚/挪威/丹麦,喜剧/动画/歌舞/冒险,6.8,ftp://ygdy8:ygdy8@yg90.dydytt.net:8520/阳光电影www.ygdy8.com.乐高大电影2.BD.720p.中英双字幕.mkv
The Wandering Earth,2019,中国,科幻/灾难,8.0,ftp://ygdy8:ygdy8@yg45.dydytt.net:3207/阳光电影www.ygdy8.com.流浪地球.HD.1080p.国语中英双字.mp4
乐高大电影2,2019,美国/澳大利亚/挪威/丹麦,喜剧/动画/歌舞/冒险,6.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:3205/阳光电影www.ygdy8.com.乐高大电影2.BD.720p.英语中字.mkv
北极,2019,冰岛,冒险/剧情,6.8,ftp://ygdy8:ygdy8@yg90.dydytt.net:8517/阳光电影www.ygdy8.com.北极.BD.720p.中英双字幕.mkv
太空生活 ,2018,德国 / 法国 / 英国 / 波兰 / 美国,剧情 / 科幻,6.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:5051/阳光电影www.ygdy8.com.太空生活.BD.720p.英语中字.mkv
Integrity,2019,中国香港/中国,剧情/悬疑/犯罪,5.5,ftp://ygdy8:ygdy8@yg45.dydytt.net:3204/阳光电影www.ygdy8.com.廉政风云.BD.720p.国粤双语中字.mkv
D计划,2019,中国/中国香港,剧情/喜剧,5.8,ftp://ygdy8:ygdy8@yg90.dydytt.net:8514/阳光电影www.ygdy8.com.新喜剧之王.BD.720p.国粤双语中字.mkv
On the Balcony,2019,中国,剧情,6.1,ftp://ygdy8:ygdy8@yg45.dydytt.net:8428/阳光电影www.ygdy8.com.阳台上.HD.1080p.国语中英双字.mp4
Cloud in the Wind,2019,中国,剧情/悬疑/犯罪,7.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:3203/阳光电影www.ygdy8.com.风中有朵雨做的云.HD.1080p.国语中英双字.mp4
The Crossing ,2018,中国,剧情,7.9,ftp://ygdy8:ygdy8@yg45.dydytt.net:8427/阳光电影www.ygdy8.com.过春天.HD.1080p.国语中英双字.mp4
盗梦特攻队,2018,匈牙利,剧情/动画,8.9,ftp://ygdy8:ygdy8@yg45.dydytt.net:6161/阳光电影www.ygdy8.com.盗梦特攻队.BD.720p.中英双字幕.mkv
触不可及(美版),2019,美国,剧情/喜剧,8.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:3202/阳光电影www.ygdy8.com.触不可及(美版).BD.720p.中英双字幕.mkv
逆向诱拐 ,2018,中国香港,剧情/悬疑,5.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:8426/阳光电影www.ygdy8.com.逆向诱拐.BD.720p.粤语中英双字.mkv
Hidden Man,2018,中国,剧情/喜剧/动作,7.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:7426/阳光电影www.ygdy8.com.邪不压正.BD.720p.国语中字.mkv
Hello Mr. Billionaire,2018,中国,喜剧,6.7,ftp://ygdy8:ygdy8@yg90.dydytt.net:8512/阳光电影www.ygdy8.com.西虹市首富.BD.720p.国语中字.mkv
柏林，我爱你,2019,德国,剧情/爱情,5.4,ftp://ygdy8:ygdy8@yg90.dydytt.net:8511/阳光电影www.ygdy8.com.柏林，我爱你.BD.720p.中英双字幕.mkv
翠丝 ,2018,香港,剧情/同性,6.6,ftp://ygdy8:ygdy8@yg72.dydytt.net:8359/阳光电影www.ygdy8.com.翠丝.BD.720p.粤语中英双字.mkv
欢迎来到马文镇,2018,美国,剧情/传记,6.1,ftp://ygdy8:ygdy8@yg45.dydytt.net:8425/阳光电影www.ygdy8.com.欢迎来到马文镇.BD.720p.中英双字幕.mkv
驯龙高手3,2019,美国,动画/奇幻/冒险,7.5,ftp://ygdy8:ygdy8@yg45.dydytt.net:3200/阳光电影www.ygdy8.com.驯龙高手3.BD.720p.中英双字幕.mkv
死寂,2019,德国,恐怖/惊悚,0,ftp://ygdy8:ygdy8@yg45.dydytt.net:5048/阳光电影www.ygdy8.com.死寂.BD.720p.中英双字幕.mkv
非同凡响 ,2018,中国香港,剧情,7.0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8508/阳光电影www.ygdy8.com.非同凡响.BD.720p.粤语中字.mkv
House of The Rising Sons,2018,中国香港/中国,剧情/励志,5.9,ftp://ygdy8:ygdy8@yg45.dydytt.net:3156/阳光电影www.ygdy8.com.兄弟班.BD.720p.国粤双语中字.mkv
"Lost, Found",2018,中国,剧情,7.5,ftp://ygdy8:ygdy8@yg45.dydytt.net:3160/阳光电影www.ygdy8.com.找到你.HD.1080p.国语中英双字.mp4
克隆人,2018,英国/中国/波多黎各/美国,科幻/悬疑/犯罪,6.2,ftp://ygdy8:ygdy8@yg72.dydytt.net:8358/阳光电影www.ygdy8.com.克隆人.BD.720p.中英双字幕.mkv
密室逃生,2019,美国,悬疑/惊悚,7.3,ftp://ygdy8:ygdy8@yg90.dydytt.net:8506/阳光电影www.ygdy8.com.密室逃生.BD.720p.中英双字幕.mkv
性别为本 ,2018,美国,剧情 / 传记,7.5,ftp://ygdy8:ygdy8@yg45.dydytt.net:6160/阳光电影www.ygdy8.com.性别为本.BD.720p.中英双字幕.mkv
玻璃先生,2019,美国,悬疑/惊悚/犯罪,6.3,ftp://ygdy8:ygdy8@yg45.dydytt.net:8424/阳光电影www.ygdy8.com.玻璃先生.BD.720p.中英双字幕.mkv
王者少年,2019,英国/美国,奇幻/冒险,5.5,ftp://ygdy8:ygdy8@yg45.dydytt.net:7424/阳光电影www.ygdy8.com.王者少年.BD.720p.中英双字幕.mkv
罗宾汉：起源,2018,美国,动作/冒险,5.4,ftp://ygdy8:ygdy8@yg90.dydytt.net:8505/阳光电影www.ygdy8.com.罗宾汉：起源.BD.720p.中英双字幕.mkv
无间炼狱,2018,美国,剧情/惊悚/犯罪,5.9,ftp://ygdy8:ygdy8@yg45.dydytt.net:8422/阳光电影www.ygdy8.com.无间炼狱.BD.720p.中英双字幕.mkv
果戈里·复仇,2018,俄罗斯,悬疑/惊悚/奇幻/冒险,6.9,ftp://ygdy8:ygdy8@yg72.dydytt.net:8357/阳光电影www.ygdy8.com.果戈里·复仇.BD.720p.中英双字幕.mkv
气球,2018,德国,剧情/惊悚/历史,8.1,ftp://ygdy8:ygdy8@yg72.dydytt.net:8356/阳光电影www.ygdy8.com.奇迹热气球.BD.720p.德语中字.mkv
你能原谅我吗？,2018,美国,剧情/喜剧/传记/犯罪,7.1,ftp://ygdy8:ygdy8@yg45.dydytt.net:7421/阳光电影www.ygdy8.com.你能原谅我吗？.BD.720p.中英双字幕.mkv
无主之作,2018,德国,剧情,8.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:3199/阳光电影www.ygdy8.com.无主之作.BD.720p.德语中字.mkv
驯龙高手3,2019,美国,动画/奇幻/冒险,7.5,ftp://ygdy8:ygdy8@yg90.dydytt.net:8503/阳光电影www.ygdy8.com.驯龙高手3.HD.720p.英语中字.mkv
彼铁卢,2018,英国,剧情/历史,6.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:8420/阳光电影www.ygdy8.com.彼铁卢.BD.720p.中英双字幕.mkv
Kung Fu Monster,2018,中国/中国香港,喜剧/奇幻/武侠,3.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:7420/阳光电影www.ygdy8.com.武林怪兽.BD.720p.国粤双语中字.mkv
白小姐,2018,韩国,剧情,7.2,ftp://ygdy8:ygdy8@yg90.dydytt.net:8502/阳光电影www.ygdy8.com.白小姐.BD.720p.韩语中字.mkv
烧肉龙,2018,日本,剧情/家庭,6.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:8419/阳光电影www.ygdy8.com.烧肉龙.BD.720p.日语中字.mkv
劫匪,2019,美国,剧情/悬疑/惊悚/犯罪,0,ftp://ygdy8:ygdy8@yg45.dydytt.net:8418/阳光电影www.ygdy8.com.劫匪.BD.720p.中英双字幕.mkv
斯坦和奥利,2018,英国/美国/加拿大,剧情/喜剧/传记,7.5,ftp://ygdy8:ygdy8@yg45.dydytt.net:7418/阳光电影www.ygdy8.com.斯坦和奥利.BD.720p.中英双字幕.mkv
硬核,2018,日本,喜剧,6.2,ftp://ygdy8:ygdy8@yg90.dydytt.net:8501/阳光电影www.ygdy8.com.硬核.BD.720p.日语中字.mkv
逃出水泥地,2018,加拿大,剧情/动作/惊悚/犯罪,6.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:8417/阳光电影www.ygdy8.com.逃出水泥地.BD.720p.中英双字幕.mkv
俄国新娘,2018,美国,惊悚/恐怖,0,ftp://ygdy8:ygdy8@yg45.dydytt.net:7417/阳光电影www.ygdy8.com.俄国新娘.BD.720p.中英双字幕.mkv
Pegasus,2019,中国,喜剧,7.0,ftp://ygdy8:ygdy8@yg45.dydytt.net:6159/阳光电影www.ygdy8.com.飞驰人生.HD.720p.国语中字.mkv
检察方的罪人,2018,日本,剧情/悬疑/犯罪,7.3,ftp://ygdy8:ygdy8@yg90.dydytt.net:8499/阳光电影www.ygdy8.com.检察方的罪人.BD.720p.日语中字.mkv
Ash is Purest White,2018,中国/法国/日本,剧情/爱情/犯罪,7.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:4127/阳光电影www.ygdy8.com.江湖儿女.HD.1080p.国语中字.mp4
夜以继日,2018,日本/法国,剧情/爱情,7.4,ftp://ygdy8:ygdy8@yg90.dydytt.net:8498/阳光电影www.ygdy8.com.夜以继日.BD.720p.日语中字.mkv
然后你来了,2019,美国,剧情/喜剧/冒险,7.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:8416/阳光电影www.ygdy8.com.然后你来了.BD.720p.中英双字幕.mkv
三重威胁之跨国大营救,2019,泰国/中国/中国香港/美国,动作,4.3,ftp://ygdy8:ygdy8@yg45.dydytt.net:3198/阳光电影www.ygdy8.com.三重威胁之跨国大营救.BD.720p.中文字幕.mkv
邻里的人们,2018,韩国,动作/悬疑,5.8,ftp://ygdy8:ygdy8@yg90.dydytt.net:8497/阳光电影www.ygdy8.com.邻里的人们.BD.720p.韩语中字.mkv
海市蜃楼,2018,西班牙,科幻/悬疑/惊悚,7.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:8431/阳光电影www.ygdy8.com.海市蜃楼.HD.720p.中英双字幕.mkv
副总统,2018,美国,剧情/喜剧/传记/历史,6.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:8415/阳光电影www.ygdy8.com.副总统.BD.720p.中英双字幕.mkv
小偷家族,2018,日本,剧情/家庭/犯罪,8.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:3196/阳光电影www.ygdy8.com.小偷家族.BD.720p.日语中字.mkv
紧急救命电影版,2018,日本,剧情,8.3,ftp://ygdy8:ygdy8@yg90.dydytt.net:8496/阳光电影www.ygdy8.com.紧急救命.BD.720p.日语中字.mkv
一条狗的回家路,2019,美国,冒险,6.9,ftp://ygdy8:ygdy8@yg72.dydytt.net:8354/阳光电影www.ygdy8.com.一条狗的回家路.HD.720p.国英双语中字.mkv
Integrity,2019,中国香港/中国,剧情/悬疑/犯罪,5.5,ftp://ygdy8:ygdy8@yg45.dydytt.net:4125/阳光电影www.ygdy8.com.廉政风云.HD.720p.国粤双语中字.mkv
重塑人生,2018,美国,喜剧/爱情,5.4,ftp://ygdy8:ygdy8@yg90.dydytt.net:8494/阳光电影www.ygdy8.com.重塑人生.BD.720p.中英双字幕.mkv
狂野生活,2018,美国,剧情,7.3,ftp://ygdy8:ygdy8@yg45.dydytt.net:4124/阳光电影www.ygdy8.com.狂野生活.BD.720p.中英双字幕.mkv
国家破产之日,2018,韩国,剧情,7.5,ftp://ygdy8:ygdy8@yg45.dydytt.net:3195/阳光电影www.ygdy8.com.国家破产之日.BD.720p.韩语中字.mkv
大黄蜂,2018,美国,动作/科幻/冒险,7.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:8414/阳光电影www.ygdy8.com.大黄蜂.BD.720p.中英双字幕.mkv
骡子,2018,美国,剧情/悬疑/惊悚/犯罪,7.9,ftp://ygdy8:ygdy8@yg45.dydytt.net:7431/阳光电影www.ygdy8.com. 骡子.BD.720p.中英双字幕.mkv
永生之地,2019,爱尔兰,动作/犯罪/西部,0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8493/阳光电影www.ygdy8.com.永生之地.BD.720p.中英双字幕.mkv
库尔斯克,2018,法国/比利时/卢森堡,剧情/历史/灾难,6.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:7413/阳光电影www.ygdy8.com.库尔斯克.BD.720p.英语中字.mkv
极限职业,2019,韩国,喜剧/犯罪,7.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:6158/阳光电影www.ygdy8.com.极限职业.BD.720p.韩语中字.mkv
最后一人,2019,阿根廷/加拿大,剧情/动作/科幻,0,ftp://ygdy8:ygdy8@yg45.dydytt.net:8412/阳光电影www.ygdy8.com.最后一人.BD.720p.中英双字幕.mkv
怪兽应变,2018,美国,剧情/科幻/惊悚,0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8492/阳光电影www.ygdy8.com.怪兽应变.BD.720p.中英双字幕.mkv
蜘蛛侠：平行宇宙,2018,美国,动作/科幻/动画/冒险,8.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:8410/阳光电影www.ygdy8.com.蜘蛛侠：平行宇宙.BD.720p.国英双语双字.mkv
伦敦战场 ,2018,美国,悬疑 / 惊悚 / 犯罪,5.3,ftp://ygdy8:ygdy8@yg45.dydytt.net:7410/阳光电影www.ygdy8.com.伦敦战场.BD.720p.中英双字幕.mkv
欢乐满人间2 ,2018,美国,歌舞/剧情,7.0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8491/阳光电影www.ygdy8.com.欢乐满人间2.BD.720p.中英双字幕.mkv
叶问外传：张天志,2018,中国/中国香港,剧情/动作,6.0,ftp://ygdy8:ygdy8@yg45.dydytt.net:8409/阳光电影www.ygdy8.com.叶问外传：张天志.BD.720p.国粤双语中字.mkv
花牌情缘：结 ,2018,日本,剧情/励志,8.1,ftp://ygdy8:ygdy8@yg45.dydytt.net:7409/阳光电影www.ygdy8.com.花牌情缘：终结.BD.720p.日语中字.mkv
世界属于你,2018,法国,喜剧 / 犯罪,5.9,ftp://ygdy8:ygdy8@yg90.dydytt.net:8490/阳光电影www.ygdy8.com.世界属于你.BD.720p.中文字幕.mkv
三方国界,2019,美国,动作/犯罪/冒险,6.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:8408/阳光电影www.ygdy8.com.三方国界.BD.720p.中英双字幕.mkv
屠宰场准则,2018,英国,喜剧/动作/恐怖,5.1,ftp://ygdy8:ygdy8@yg45.dydytt.net:7408/阳光电影www.ygdy8.com.屠宰场准则.BD.720p.中英双字幕.mkv
Knight of Shadows: Walker Between Halfworlds ,2019,中国,喜剧/动作/奇幻,4.1,ftp://ygdy8:ygdy8@yg45.dydytt.net:8406/阳光电影www.ygdy8.com.神探蒲松龄.HD.720p.国粤双语中字.mkv
袭击,2018,印度,剧情/动作,6.9,ftp://ygdy8:ygdy8@yg45.dydytt.net:6156/阳光电影www.ygdy8.com.袭击.BD.720p.中文字幕.mkv
海王,2018,美国/澳大利亚,动作/奇幻/冒险,7.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:3194/阳光电影www.ygdy8.com.海王.BD.720p.国英双语双字.mkv
Knight of Shadows: Walker Between Halfworlds ,2019,中国,喜剧/动作/奇幻,4.1,ftp://ygdy8:ygdy8@yg72.dydytt.net:8353/阳光电影www.ygdy8.com.神探蒲松龄.HD.720p.国语中字.mkv
假若比尔街能说话 ,2018,美国,剧情 / 爱情 / 犯罪,6.7,ftp://ygdy8:ygdy8@yg90.dydytt.net:8487/阳光电影www.ygdy8.com.假若比尔街能说话.BD.720p.中英双字幕.mkv
D计划,2019,中国/中国香港,剧情/喜剧,5.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:7405/阳光电影www.ygdy8.com.新喜剧之王.HD.720p.国粤双语中字.mkv
Shadow,2018,中国,剧情/动作/武侠/古装,7.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:8404/阳光电影www.ygdy8.com.影.BD.720p.国语中字.mkv
一代巨星桑杰君,2018,印度,剧情 / 传记,7.5,ftp://ygdy8:ygdy8@yg45.dydytt.net:3193/阳光电影www.ygdy8.com.一代巨星桑杰君.BD.720p.中英双字幕.mkv
青年将军高约,2018,菲律宾,剧情/战争,0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8485/阳光电影www.ygdy8.com.青年将军高约.BD.720p.中文字幕.mkv
Crazy Alien,2019,中国,喜剧/科幻,6.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:8403/阳光电影www.ygdy8.com.疯狂的外星人.HD.1080p.国语中英双字.mp4
硬核风暴,2019,美国,动作/犯罪,0/1,ftp://ygdy8:ygdy8@yg90.dydytt.net:8483/阳光电影www.ygdy8.com.硬核风暴.BD.720p.中英双字幕.mkv
海王,2018,美国/澳大利亚,动作/奇幻/冒险,7.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:3194/阳光电影www.ygdy8.com.海王.BD.720p.国英双语双字.mkv
此房是我造,2018,丹麦/法国/德国/瑞典,剧情/惊悚/犯罪,7.3,ftp://ygdy8:ygdy8@yg45.dydytt.net:4123/阳光电影www.ygdy8.com.此房是我造.BD.720p.中英双字幕.mkv
White Snake,2019,中国/美国,爱情/动画/奇幻,8.0,ftp://ygdy8:ygdy8@yg45.dydytt.net:4122/阳光电影www.ygdy8.com.白蛇：缘起.HD.720p.国语中字.mkv
难道不浪漫,2019,美国,喜剧/爱情/奇幻,6.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:8401/阳光电影www.ygdy8.com.难道不浪漫.BD.720p.中英双字幕.mkv
Big Match,2019,中国,动作/犯罪,6.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:8400/阳光电影www.ygdy8.com.大人物.HD.1080p.国语中英双字.mkv
